Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981-06-30 00:00:00,277135.0,1927
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04 00:00:00,45012.0,1919
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2015-03-20 00:00:00,1359841.0,2000
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04 00:00:00,874766.0,1810
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30 00:00:00,46080.0,1923
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27 00:00:00,860730.0,1968
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31 00:00:00,765880.0,1985
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",2015-03-17 00:00:00,1000228.0,1932
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04 00:00:00,47111.0,1894
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",1984-05-31 00:00:00,4447.0,1919
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02 00:00:00,1645590.0,2015
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19 00:00:00,1585689.0,1919
HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",2018-06-18 00:00:00,48039.0,1947
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30 00:00:00,859737.0,1985
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31 00:00:00,354950.0,1978
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964-03-31 00:00:00,773840.0,1906
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04 00:00:00,48465.0,1891
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20 00:00:00,1070750.0,1993
HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1964-03-31 00:00:00,4281.0,2016
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31 00:00:00,47217.0,1939 (2015)
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071.0,1961
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio",,49196.0,1866
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03 00:00:00,1501585.0,2011
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",2019-08-09 00:00:00,832101.0,1988
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05 00:00:00,874716.0,1983
INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,"London, United Kingdom",2017-06-02 00:00:00,1598014.0,1959
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28 00:00:00,49826.0,1912
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19 00:00:00,1110803.0,1998
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28 00:00:00,879169.0,1991
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",2020-03-03 00:00:00,1699150.0,1859
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31 00:00:00,50863.0,1968
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26 00:00:00,1571949.0,2000
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04 00:00:00,51143.0,1911
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",1957-03-04 00:00:00,51434.0,1898
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York, New York",1992-10-01 00:00:00,51644.0,1961 (1930)
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",1976-03-31 00:00:00,51253.0,1958 (1889)
INTU,Intuit Inc.,reports,Information Technology,Application Software,"Mountain View, California",2000-12-05 00:00:00,896878.0,1983
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02 00:00:00,1035267.0,1995
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21 00:00:00,914208.0,1935
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018-03-07 00:00:00,1111928.0,1990
IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29 00:00:00,1478242.0,1982
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06 00:00:00,1020569.0,1951
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13 00:00:00,779152.0,1976
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26 00:00:00,52988.0,1947
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",2015-07-01 00:00:00,728535.0,1961
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06 00:00:00,91419.0,1897
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30 00:00:00,200406.0,1886
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",2010-08-27 00:00:00,833444.0,1885
JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,"New York, New York",1975-06-30 00:00:00,19617.0,2000 (1799 / 1871)
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02 00:00:00,1043604.0,1996
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",2013-05-24 00:00:00,54480.0,1887
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067.0,1906
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01 00:00:00,91576.0,1825
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06 00:00:00,1601046.0,2014
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",1957-03-04 00:00:00,55785.0,1872
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04 00:00:00,879101.0,1958
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25 00:00:00,1506307.0,1997
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201.0,1975/1977 (1997)
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06 00:00:00,1637459.0,2015 (1869)
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04 00:00:00,56873.0,1883
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983-09-30 00:00:00,701985.0,1963
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",,202058.0,2019 (1895)
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01 00:00:00,920148.0,1978
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29 00:00:00,707549.0,1980
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03 00:00:00,1679273.0,2016 (1950)
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03 00:00:00,1300514.0,1988
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492.0,1883
LDOS,Leidos Holdings,reports,Information Technology,IT Consulting & Other Services,"Reston, Virginia",2019-08-09 00:00:00,1336920.0,1969
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04 00:00:00,920760.0,1954
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31 00:00:00,59478.0,1876
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30 00:00:00,59558.0,1905
LIN,Linde plc,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",1992-07-01 00:00:00,1707925.0,1879
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23 00:00:00,1335258.0,2010
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23 00:00:00,1065696.0,1998
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31 00:00:00,936468.0,1995
L,Loews Corp.,reports,Financials,Multi-line Insurance,"New York, New York",,60086.0,1959
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29 00:00:00,60667.0,1904/1946/1959
LUMN,Lumen Technologies,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999-03-25 00:00:00,18926.0,1983 (1877)
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05 00:00:00,1489393.0,2007
MTB,M&T Bank Corp.,reports,Financials,Regional Banks,"Buffalo, New York",2004-02-23 00:00:00,36270.0,1856
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01 00:00:00,101778.0,1887
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01 00:00:00,1510295.0,2009 (1887)
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York, New York",2019-07-01 00:00:00,1278021.0,2000
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286.0,1927
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",1987-08-31 00:00:00,62709.0,1905
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02 00:00:00,916076.0,1993
MAS,Masco Corp.,reports,Industrials,Building Products,"Livonia, Michigan",1981-06-30 00:00:00,62996.0,1929
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18 00:00:00,1141391.0,1966
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754.0,1889
MXIM,Maxim Integrated Products Inc,reports,Information Technology,Semiconductors,"San Jose, California",2018-12-03 00:00:00,743316.0,1983
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30 00:00:00,63908.0,1940
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653.0,1833
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31 00:00:00,1613103.0,1949
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04 00:00:00,310158.0,1891
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219.0,1868
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06 00:00:00,1037646.0,1945
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26 00:00:00,789570.0,1986
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07 00:00:00,827054.0,1989
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27 00:00:00,723125.0,1978
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01 00:00:00,789019.0,1975
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",2016-12-02 00:00:00,912595.0,1977
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23 00:00:00,851968.0,1878
TAP,Molson Coors Beverage Company,reports,Consumer Staples,Brewers,"Denver, Colorado",1976-06-30 00:00:00,24545.0,"2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02 00:00:00,1103982.0,2012
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28 00:00:00,865752.0,2012 (1935)
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556.0,1909
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421.0,1935
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26 00:00:00,1285785.0,2004 (1865 / 1909)
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,"Chicago, Illinois",,68505.0,1928 (2011)
MSCI,MSCI Inc,reports,Financials,Financial Exchanges & Data,"New York, New York",2018-04-04 00:00:00,1408198.0,1969
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",2008-10-22 00:00:00,1120193.0,1971
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1999-06-25 00:00:00,1002047.0,1992
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20 00:00:00,1065280.0,1997
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1989-04-30 00:00:00,814453.0,1903
NEM,Newmont Corporation,reports,Materials,Gold,"Denver, Colorado",1969-06-30 00:00:00,1164727.0,1921
NWSA,News Corp. Class A,reports,Communication Services,Publishing,"New York, New York",2013-08-01 00:00:00,1564708.0,2013 (1980)
NWS,News Corp. Class B,reports,Communication Services,Publishing,"New York, New York",2015-09-18 00:00:00,1564708.0,2013 (1980)
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30 00:00:00,753308.0,1984 (1925)
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",2013-07-09 00:00:00,1492633.0,1923
NKE,"Nike, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30 00:00:00,320187.0,1964
NI,NiSource Inc.,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711.0,1912
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",1957-03-04 00:00:00,702165.0,1881/1894 (1980)
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124.0,1889
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30 00:00:00,1133421.0,"1994 (Northrop 1939, Grumman 1930)"
NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",2003-03-25 00:00:00,849399.0,1982
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13 00:00:00,1513761.0,2011 (1966)
NOV,NOV Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005-03-14 00:00:00,1021860.0,1841
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-01-29 00:00:00,1013871.0,1992
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",1985-04-30 00:00:00,73309.0,1940
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30 00:00:00,1045810.0,1993
NVR,"NVR, Inc.",reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26 00:00:00,906163.0,1980
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27 00:00:00,898173.0,1957
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1982-12-31 00:00:00,797468.0,1920
ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",2019-12-09 00:00:00,878927.0,1934
OMC,Omnicom Group,reports,Communication Services,Advertising,"New York, New York",,29989.0,1986
OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15 00:00:00,1039684.0,1906
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Austin, Texas",1989-08-31 00:00:00,1341439.0,1977
OTIS,Otis Worldwide,reports,Industrials,Industrial Machinery,"Farmington, Connecticut",2020-04-03 00:00:00,1781335.0,2020 (1853)
PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31 00:00:00,75362.0,1905
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26 00:00:00,75677.0,1959
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30 00:00:00,76334.0,1917
PAYX,Paychex Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531.0,1971
PAYC,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28 00:00:00,1590955.0,1998
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20 00:00:00,1633917.0,1998
PNR,Pentair plc,reports,Industrials,Industrial Machinery,"Worsley, UK",2012-10-01 00:00:00,77360.0,1966
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13 00:00:00,1378946.0,1842
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04 00:00:00,77476.0,1898
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31 00:00:00,31791.0,1937
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19 00:00:00,1585364.0,2013 (1887)
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",1957-03-04 00:00:00,78003.0,1849
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",2008-03-31 00:00:00,1413329.0,2008 (1847)
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01 00:00:00,1534701.0,2012 (1917)
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622.0,1985
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24 00:00:00,1038357.0,1997
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30 00:00:00,713676.0,1845
POOL,Pool Corporation,reports,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07 00:00:00,945841.0,1993
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04 00:00:00,79879.0,1883
PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224.0,1920
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22 00:00:00,1126328.0,1879
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04 00:00:00,80424.0,1837
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04 00:00:00,80661.0,1937
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17 00:00:00,1045609.0,1983
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22 00:00:00,1137774.0,1875
PEG,Public Service Enterprise Group (PSEG),reports,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04 00:00:00,788784.0,1903
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",2005-08-19 00:00:00,1393311.0,1972
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30 00:00:00,822416.0,1956
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-02-15 00:00:00,78239.0,1881
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11 00:00:00,1604778.0,2015
PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01 00:00:00,1050915.0,1997
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",,804328.0,1985
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12 00:00:00,1022079.0,1967
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007-02-02 00:00:00,1037038.0,1967
RJF,"Raymond James Financial, Inc.",reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20 00:00:00,720005.0,1962
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829.0,1922
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",2015-04-07 00:00:00,726728.0,1969
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02 00:00:00,910606.0,1963
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01 00:00:00,872589.0,1988
RF,Regions Financial Corp.,reports,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28 00:00:00,1281761.0,1971
RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05 00:00:00,1060391.0,1998 (1981)
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",2017-07-26 00:00:00,943819.0,1989
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05 00:00:00,315213.0,1948
ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478.0,1903
ROL,"Rollins, Inc.",reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01 00:00:00,84839.0,1948
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23 00:00:00,882835.0,1981
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21 00:00:00,745732.0,1982
RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05 00:00:00,884887.0,1997
SPGI,S&P Global Inc.,reports,Financials,Financial Exchanges & Data,"New York, New York",,64040.0,1917
CRM,Salesforce.com,reports,Information Technology,Application Software,"San Francisco, California",2008-09-15 00:00:00,1108524.0,1999
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01 00:00:00,1034054.0,1989
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31 00:00:00,87347.0,1926
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02 00:00:00,1137789.0,1979
SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",1957-03-04 00:00:00,1012100.0,1960
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208.0,1998
NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",2019-11-21 00:00:00,1373715.0,2003
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30 00:00:00,89800.0,1866
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26 00:00:00,1063761.0,2003
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12 00:00:00,4127.0,2002
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",2015-03-20 00:00:00,1040971.0,1997
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30 00:00:00,91440.0,1920
SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04 00:00:00,92122.0,1945
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",1994-07-01 00:00:00,92380.0,1967
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30 00:00:00,93556.0,1843
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224.0,1971
STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751.0,1792
STE,STERIS plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23 00:00:00,1757898.0,1985
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12 00:00:00,310764.0,1941
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",2018-03-19 00:00:00,719739.0,1983
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18 00:00:00,1601712.0,2003
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",2017-03-16 00:00:00,883241.0,1986
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31 00:00:00,96021.0,1969
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15 00:00:00,1283699.0,1994
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169.0,1937
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",2018-03-19 00:00:00,946581.0,1993
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132.0,2017
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31 00:00:00,27419.0,1902
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17 00:00:00,1385157.0,2007
FTI,TechnipFMC,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",2009-06-05 00:00:00,1681459.0,2017 (1958)
